,L1_norm,L2_norm
1993-07-20,0.033415975667364976,0.003785556564403639
1993-07-21,0.030064758284522174,0.0036934436002299302
1993-07-22,0.03240554946340893,0.003725999096799684
1993-07-23,0.03240554946340893,0.003725999096799684
1993-07-26,0.03110552983559481,0.0036952088649968144
1993-07-27,0.07524787495730509,0.007424133107460369
1993-07-28,0.07344553930071306,0.00725442429174657
1993-07-29,0.09408434888308669,0.008088208047900813
1993-07-30,0.085595423330865,0.007880249162395138
1993-08-02,0.08002477698109225,0.007568797450817519
1993-08-03,0.06685114354240126,0.007197248246003595
1993-08-04,0.0684730290404659,0.006774962382653826
1993-08-05,0.049425120839415894,0.005044979080609623
1993-08-06,0.03572106897025583,0.0043794211571633376
1993-08-09,0.03657148769431878,0.004404480117440447
1993-08-10,0.03136805619157853,0.003908709646804096
1993-08-11,0.03479445013329189,0.004182815063537148
1993-08-12,0.03539982308033114,0.004182055696675977
1993-08-13,0.03333726249881249,0.003939325109068858
1993-08-16,0.017551165245650337,0.0026312264127998793
1993-08-17,0.019379552048750442,0.0027813789921217443
1993-08-18,0.019379552048750442,0.0027813789921217443
1993-08-19,0.021757549701390544,0.002963629202143272
1993-08-20,0.018954443712113328,0.0023441512211988032
1993-08-23,0.01777833655645543,0.002213843284367917
1993-08-24,0.025367639683495365,0.0026759221680329923
1993-08-25,0.01882889287601446,0.0023460095821525597
1993-08-26,0.0193804244229719,0.002355345059949135
1993-08-27,0.0209863712360863,0.0024591701658841668
1993-08-30,0.01826260043927466,0.002335923580886072
1993-08-31,0.028871495158609924,0.003263779646037931
1993-09-01,0.023780617338612496,0.002851074434101436
1993-09-02,0.02524703911891603,0.002991910142625206
1993-09-03,0.025475401324910878,0.0029944351421946963
1993-09-07,0.0257338466282121,0.0029987457430792094
1993-09-08,0.025966582292942637,0.0030086444097136163
1993-09-09,0.025966582292942637,0.0030086444097136163
1993-09-10,0.02578165194405234,0.003008774066031718
1993-09-13,0.02373763820272148,0.002820685942448805
1993-09-14,0.02373763820272148,0.002820685942448805
1993-09-15,0.03234318669859745,0.0033029120728136183
1993-09-16,0.03234318669859745,0.0033029120728136183
1993-09-17,0.03234318669859745,0.0033029120728136183
1993-09-20,0.03740612751002199,0.0035525943160430455
1993-09-21,0.023527685731278322,0.00281114731212989
1993-09-22,0.012235068093135482,0.0019479228860931194
1993-09-23,0.012235068093135482,0.0019479228860931194
1993-09-24,0.011438907771469626,0.0018371044297517708
1993-09-27,0.011305814826182963,0.0018346858560430036
1993-09-28,0.011252647087381194,0.0018340567406287562
1993-09-29,0.011607773379423234,0.0019268584665106678
1993-09-30,0.02218777731749416,0.0032393284243819333
1993-10-01,0.02218777731749416,0.0032393284243819333
1993-10-04,0.02254618122423728,0.00323875677572412
1993-10-05,0.01856269400978129,0.0028052247283723536
1993-10-06,0.008520033465911826,0.0013442937183838926
1993-10-07,0.008520033465911826,0.0013442937183838926
1993-10-08,0.009588093338917478,0.0014274214025442697
1993-10-11,0.00952469892878751,0.0014267036550468005
1993-10-12,0.009117199189054521,0.0014048655802166065
1993-10-13,0.00603999446230948,0.0010074459253067922
1993-10-14,0.005661603891000435,0.0009603395746470742
1993-10-15,0.0091778790502399,0.0014349246642902708
1993-10-18,0.010743979754473299,0.0015536761638881035
1993-10-19,0.008166539956538066,0.001277702960974397
1993-10-20,0.01019252305397217,0.0015533542711028121
1993-10-21,0.009556683957198164,0.001495073868033953
1993-10-22,0.009557098426777589,0.0014950739254843016
1993-10-25,0.008904407729106183,0.0014563102784924706
1993-10-26,0.009493860011738615,0.0014846709019679435
1993-10-27,0.009637549387758784,0.0014892833931895713
1993-10-28,0.01947290508313112,0.0029770953108348664
1993-10-29,0.01947290508313112,0.0029770953108348664
1993-11-01,0.022142140062658876,0.003077679296880612
1993-11-02,0.02314665384685789,0.0031491691243452453
1993-11-03,0.02314665384685789,0.0031491691243452453
1993-11-04,0.02977383323539811,0.004308561800393416
1993-11-05,0.02546257329771695,0.003377763032504961
1993-11-08,0.02571702330080128,0.0033838695031208985
1993-11-09,0.025845741457623205,0.0032811032948715096
1993-11-10,0.04480625539795375,0.004400661393949192
1993-11-11,0.04187862785128895,0.004182284979451607
