,L1_norm,L2_norm
2012-05-09,0.043480948753592215,0.004654757745623422
2012-05-10,0.04585088289357026,0.0048412882460473206
2012-05-11,0.03584604957834582,0.004271276939258483
2012-05-14,0.030905150504506602,0.003912754087973929
2012-05-15,0.019160261593798564,0.002753674370265096
2012-05-16,0.02205214156279271,0.0029617578035008372
2012-05-17,0.016819290102707645,0.002577738770205211
2012-05-18,0.013398747162074402,0.00225388237466165
2012-05-21,0.013398747162074402,0.00225388237466165
2012-05-22,0.03075482134418856,0.004790438053137542
2012-05-23,0.03812729517398508,0.0051688010865456
2012-05-24,0.0355743222584254,0.005019973210963816
2012-05-25,0.03593577231462663,0.005024211685632541
2012-05-29,0.046696585243908476,0.005933980422932831
2012-05-30,0.050851744935979465,0.006079168260376705
2012-05-31,0.04437697706873323,0.005406614971226958
2012-06-01,0.04358160976988986,0.0053937381290693545
2012-06-04,0.03987298259398112,0.0051582559715151535
2012-06-05,0.03987298259398112,0.0051582559715151535
2012-06-06,0.01861357341729647,0.0026876811259718943
2012-06-07,0.020301431946142263,0.002767200149139438
2012-06-08,0.03766487685190967,0.005322426689412098
2012-06-11,0.013386380617561967,0.0018853073954005798
2012-06-12,0.013386380617561967,0.0018853073954005798
2012-06-13,0.017981788385243194,0.0021738373122365496
2012-06-14,0.016325408945038943,0.0020905251433576966
2012-06-15,0.011490479386497431,0.001611904546517386
2012-06-18,0.011490479386497431,0.001611904546517386
2012-06-19,0.022883036369654757,0.0030025990582564274
2012-06-20,0.036722811422218844,0.0038546088610081574
2012-06-21,0.021340076541925403,0.002490299469223896
2012-06-22,0.024760467432570623,0.0026665375358081076
2012-06-25,0.024760467432570623,0.0026665375358081076
2012-06-26,0.03163743440957639,0.0030545112067293947
2012-06-27,0.029414325407076603,0.0029379634455778394
2012-06-28,0.026981775059593118,0.002830218494200661
2012-06-29,0.024552513803221484,0.0027236362639052503
2012-07-02,0.024552513803221484,0.0027236362639052503
2012-07-03,0.024552513803221484,0.0027236362639052503
2012-07-05,0.02350524610850045,0.002671290766955244
2012-07-06,0.021920180273160828,0.0025986717451274874
2012-07-09,0.016612766614149573,0.002096347081082111
2012-07-10,0.016612766614149573,0.002096347081082111
2012-07-11,0.018459668620501843,0.0021979774212687936
2012-07-12,0.024203592290438194,0.0030497116720945194
2012-07-13,0.024203592290438194,0.0030497116720945194
2012-07-16,0.023164756223448393,0.0030238946302182943
2012-07-17,0.03545660539239031,0.005188763872154383
2012-07-18,0.0544688677985415,0.006398224455996044
2012-07-19,0.0544688677985415,0.006398224455996044
2012-07-20,0.016951095315177373,0.0029862656711984394
2012-07-23,0.016951095315177373,0.0029862656711984394
2012-07-24,0.016951095315177373,0.0029862656711984394
2012-07-25,0.016951095315177373,0.0029862656711984394
2012-07-26,0.01383611905751738,0.002692156819022291
2012-07-27,0.01383611905751738,0.002692156819022291
2012-07-30,0.016951095315177373,0.0029862656711984394
2012-07-31,0.016951095315177373,0.0029862656711984394
2012-08-01,0.016951095315177373,0.0029862656711984394
2012-08-02,0.013237191148399982,0.0024360392557611897
2012-08-03,0.0083046892466993,0.0019299028160511503
2012-08-06,0.005653245369084478,0.0013945036625168797
