date,norm
1988-08-31,0.008955972755946295
1988-09-01,0.01148857426438276
1988-09-02,0.010669772455906461
1988-09-03,0.0041761991362496255
1988-09-04,0.0041761991362496255
1988-09-05,0.0041761991362496255
1988-09-06,0.004520678338351171
1988-09-07,0.004520678338351171
1988-09-08,0.004520678338351171
1988-09-09,0.004580875262301701
1988-09-10,0.004580875262301701
1988-09-11,0.004580875262301701
1988-09-12,0.006709361685076385
1988-09-13,0.006509623313279237
1988-09-14,0.006509623313279237
1988-09-15,0.006509623313279237
1988-09-16,0.006509623313279237
1988-09-17,0.006509623313279237
1988-09-18,0.006509623313279237
1988-09-19,0.006509623313279237
1988-09-20,0.0065011272376959955
1988-09-21,0.006464976795472895
1988-09-22,0.0036944108344807974
1988-09-23,0.0031411843250291087
1988-09-24,0.004564090242244127
